name,line
Albus Dumbledore,"I should have known that you would be here, Professor McGonagall."
Minerva McGonagall,"Good evening, Professor Dumbledore. Are the rumours true Albus?"
Albus Dumbledore,"I'm afraid so, Professor. The good, and the bad."
Minerva McGonagall,And the boy?
Albus Dumbledore,Hagrid is bringing him.
Minerva McGonagall,Do you think it wise to trust Hagrid with something as important as this?
Albus Dumbledore,"Ah, Professor, I would trust Hagrid with my life."
Rubeus Hagrid,"Professor Dumbledore, Sir. Professor McGonagall."
Albus Dumbledore,"No problems, I trust, Hagrid?"
Rubeus Hagrid,"No, Sir. Little tyke fell asleep just as we were flying over Bristol. Heh.Try not to wake him. There you go."
Minerva McGonagall,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are…"
Albus Dumbledore,The only family he has.
Minerva McGonagall,This boy will be famous. There won't be a child in our world who doesn't know his name.
Albus Dumbledore,Exactly. He's far better off growing up away from all of that. Until he is ready.
Albus Dumbledore,"There there, Hagrid. It's not really goodbye, after all."
Albus Dumbledore,"Good luck, Harry Potter."
Petunia Dursley,Up. Get up. Now!
Dudley Dursley,"Wake up, cousin! We're going to the zoo!"
Petunia Dursley,"Oh, here he comes, the birthday boy!"
Vernon Dursley,"Happy birthday, son."
Petunia Dursley,"Why don't you just cook the breakfast, and try not to burn anything."
Harry Potter,"Yes, Aunt Petunia."
Petunia Dursley,I want everything to be perfect for my Dudley's special day.
Vernon Dursley,"Hurry up! Bring my coffee, boy!"
Harry Potter,"Yes, Uncle Vernon."
Petunia Dursley,"Aren't they wonderful, darling?"
Dudley Dursley,How many are there?
Vernon Dursley,Thirty-six. Counted them myself.
Dudley Dursley,"Thirty-six?! But last year, last year I had thirty-seven!"
Vernon Dursley,"Err yes, well, some of them are quite a bit bigger than last year."
Dudley Dursley,I don't care how big they are!
Petunia Dursley,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
Petunia Dursley,This will be a lovely day at the zoo. I'm really looking forward to it.
Vernon Dursley,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
Dudley Dursley,Make it move.
Vernon Dursley,Move!
Dudley Dursley,MOVE!
Harry Potter,He's asleep!
Dudley Dursley,He's boring.
Harry Potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you."
Harry Potter,Can you… hear me? It's just… I've never talked to a snake before. Do you… I mean… do you talk to people often?
Harry Potter,"You're from Burma, aren't you? Was it nice there, do you miss your family?"
Harry Potter,"I see. That's me as well. I never knew my parents, either."
Dudley Dursley,"Mummy, dad, come here! You won't believe what this snake is doing!"
Dudley Dursley,Whoa! Ahh! Ahh!!
Snake,Thanks.
Harry Potter,Any time.
Dudley Dursley,"Mum, mummy!"
Petunia Dursley,AHH!
Dudley Dursley,"Mum, help! Help me!"
